"Posted.Date","Facilities.Number","Rental.Price","House.Size","Floor","Area.Type","House.Locality","House.City","House.Furnishing","Tenant.Targeted","Bathroom.Number","Contact.Person","Rent.Per.Unit","Current.Floor","Total.Floor","Difference.Floor"
2022-06-01,3,40000,1286,"1 out of 1","Carpet","New Town Action Area 1","Kolkata","Furnished","Bachelors/Family",2,"Owner",31.1,1,1,0
2022-05-17,2,6000,600,"1 out of 2","Super","Barasat","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",10,1,2,1
2022-06-20,2,10000,800,"Ground out of 2","Super","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",12.5,0,2,2
2022-06-09,2,11000,2000,"Ground out of 3","Carpet","Behala Chowrasta","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",5.5,0,3,3
2022-06-09,2,6000,660,"1 out of 2","Super","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",9.09,1,2,1
2022-07-02,2,7900,650,"1 out of 2","Carpet","Santoshpur","Kolkata","Unfurnished","Family",1,"Owner",12.15,1,2,1
2022-06-14,2,9000,400,"2 out of 3","Carpet","Garia Station, Garia","Kolkata","Unfurnished","Bachelors",2,"Owner",22.5,2,3,1
2022-06-15,1,4000,300,"Ground out of 4","Carpet","Garia Station, Garia","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",13.33,0,4,4
2022-06-15,3,6500,1600,"Ground out of 2","Super","Joka","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",4.06,0,2,2
2022-05-28,1,8000,400,"1 out of 2","Super","Sreebhumi","Kolkata","Semi-Furnished","Bachelors",1,"Agent",20,1,2,1
2022-05-22,2,7000,1000,"1 out of 1","Super","Rajarhat","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",7,1,1,0
2022-06-18,1,5300,355,"1 out of 1","Carpet","Dum Dum","Kolkata","Semi-Furnished","Bachelors/Family",1,"Agent",14.93,1,1,0
2022-06-25,2,6000,1000,"Ground out of 3","Super","Kodalia, Hooghly-Chinsurah","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",6,0,3,3
2022-06-22,2,8500,800,"4 out of 5","Super","Baguiati","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",10.62,4,5,1
2022-06-25,2,12500,850,"Ground out of 2","Super","Rabindra Sarobar Area, Dhakuria","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",14.71,0,2,2
2022-05-21,1,7500,350,"Ground out of 2","Carpet","Baghajatin","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",21.43,0,2,2
2022-06-26,2,15000,900,"Ground out of 2","Carpet","Project Kaikhali, Vip Road","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",16.67,0,2,2
2022-06-16,2,6000,550,"1 out of 1","Super","Vip Road","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",10.91,1,1,0
2022-06-29,2,5000,500,"Ground out of 2","Carpet","Baruipur","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",10,0,2,2
2022-05-10,3,22000,1100,"2 out of 3","Carpet","Dumdum Park","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",20,2,3,1
2022-05-12,2,15000,850,"1 out of 2","Carpet","Sreebhumi","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",17.65,1,2,1
2022-06-03,2,12500,800,"2 out of 2","Carpet","Shyam Bazar","Kolkata","Unfurnished","Bachelors",1,"Agent",15.62,2,2,0
2022-05-31,2,7000,630,"Ground out of 3","Carpet","Birati","Kolkata","Unfurnished","Bachelors",1,"Owner",11.11,0,3,3
2022-06-10,2,21000,900,"1 out of 2","Carpet","Bansdroni","Kolkata","Semi-Furnished","Bachelors",2,"Owner",23.33,1,2,1
2022-06-24,1,10000,270,"1 out of 2","Carpet","Jadavpur University","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",37.04,1,2,1
2022-06-29,2,7200,630,"Ground out of 1","Carpet","Birati","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",11.43,0,1,1
2022-05-12,3,12000,1500,"Ground out of 2","Carpet","Bhadrakali","Kolkata","Furnished","Bachelors",2,"Owner",8,0,2,2
2022-06-26,1,5000,600,"2 out of 5","Super","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",8.33,2,5,3
2022-04-30,2,8500,700,"4 out of 14","Carpet","Baruipur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",12.14,4,14,10
2022-05-27,1,6000,300,"Ground out of 3","Super","Ballygunge","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",20,0,3,3
2022-06-06,2,10000,1300,"Ground out of 1","Super","Kalikapur","Kolkata","Semi-Furnished","Family",2,"Owner",7.69,0,1,1
2022-05-20,2,4600,400,"3 out of 3","Carpet","Behala","Kolkata","Semi-Furnished","Bachelors",1,"Owner",11.5,3,3,0
2022-07-02,2,12000,650,"Ground out of 1","Super","Baishnabghata Patuli Township, Patuli","Kolkata","Unfurnished","Family",2,"Owner",18.46,0,1,1
2022-05-26,3,30000,2000,"Ground out of 2","Super","Behala","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner",15,0,2,2
2022-05-12,3,15000,1068,"Ground out of 3","Super","Bansdroni","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner",14.04,0,3,3
2022-06-22,1,7500,150,"1 out of 1","Super","Salt Lake City","Kolkata","Furnished","Bachelors/Family",1,"Owner",50,1,1,0
2022-06-25,1,7500,450,"2 out of 2","Carpet","New Town","Kolkata","Unfurnished","Bachelors",1,"Owner",16.67,2,2,0
2022-07-03,2,5000,800,"Ground out of 1","Carpet","Baruipur","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",6.25,0,1,1
2022-04-23,2,15000,1000,"Ground out of 2","Super","Bansdroni","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",15,0,2,2
2022-05-14,2,11000,900,"5 out of 5","Super","Pancha Sayar","Kolkata","Semi-Furnished","Bachelors",1,"Owner",12.22,5,5,0
2022-05-27,1,7000,600,"Ground out of 2","Carpet","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",11.67,0,2,2
2022-06-19,2,6000,1200,"1 out of 1","Super","Hooghly-Chinsurah","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",5,1,1,0
2022-06-19,2,6000,1200,"2 out of 2","Super","Hooghly-Chinsurah","Kolkata","Semi-Furnished","Bachelors",2,"Owner",5,2,2,0
2022-07-02,2,7000,650,"Ground out of 3","Super","Amtala, Diamond Harbour Road","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner",10.77,0,3,3
2022-07-06,2,8500,720,"4 out of 4","Carpet","Shrachi Village, Madhyam Gram","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner",11.81,4,4,0
2022-07-02,1,5000,300,"1 out of 3","Carpet","Kasba","Kolkata","Unfurnished","Bachelors",1,"Owner",16.67,1,3,2
2022-06-21,3,30000,1200,"Ground out of 2","Carpet","VIP Road Haldiram","Kolkata","Unfurnished","Bachelors/Family",3,"Agent",25,0,2,2
2022-06-04,2,10000,700,"7 out of 8","Carpet","Sarsuna","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",14.29,7,8,1
2022-06-24,3,30000,2000,"1 out of 3","Super","Naihati","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner",15,1,3,2
2022-05-14,1,3500,250,"Ground out of 4","Super","Baksara","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",14,0,4,4
2022-06-26,2,8000,1100,"Ground out of 3","Carpet","Naihati","Kolkata","Unfurnished","Bachelors",1,"Owner",7.27,0,3,3
2022-07-02,1,5000,300,"Ground out of 2","Carpet","Kasba","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",16.67,0,2,2
2022-05-05,2,7500,600,"Ground out of 2","Super","Amtala, Diamond Harbour Road","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",12.5,0,2,2
2022-05-18,2,6500,800,"Ground out of 2","Carpet","Chak Thakurani, Thakurpukur","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",8.12,0,2,2
2022-06-07,1,7500,680,"1 out of 3","Super","Jadavpur","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",11.03,1,3,2
2022-06-07,1,7500,680,"Ground out of 2","Super","Jadavpur","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",11.03,0,2,2
2022-06-26,2,16000,850,"1 out of 4","Carpet","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors",1,"Agent",18.82,1,4,3
2022-06-26,2,16000,850,"1 out of 2","Carpet","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors",1,"Agent",18.82,1,2,1
2022-05-30,2,6500,700,"Ground out of 2","Super","Bandel","Kolkata","Unfurnished","Bachelors",1,"Owner",9.29,0,2,2
2022-05-22,3,40000,1500,"Ground out of 2","Super","Beliaghata","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",26.67,0,2,2
2022-06-18,2,12500,950,"1 out of 4","Super","Magnolia Prestige, Rajarhat","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner",13.16,1,4,3
2022-06-08,2,5500,500,"Ground out of 2","Super","Baishnabghata Patuli Township, Patuli","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",11,0,2,2
2022-06-25,1,5000,450,"2 out of 4","Carpet","Dum Dum Heights, Jessore Road","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",11.11,2,4,2
2022-05-03,2,6500,700,"Ground out of 2","Super","Sonarpur","Kolkata","Unfurnished","Bachelors",1,"Owner",9.29,0,2,2
2022-05-12,1,8000,500,"1 out of 2","Super","Lake Town","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",16,1,2,1
2022-06-01,3,14500,1800,"Ground out of 2","Super","Belghoria","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner",8.06,0,2,2
2022-05-23,1,8200,500,"1 out of 3","Carpet","Rabindra Pally, Keshtopur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",16.4,1,3,2
2022-05-23,2,15000,480,"Ground out of 3","Carpet","shukhobrishti","Kolkata","Furnished","Bachelors/Family",2,"Owner",31.25,0,3,3
2022-06-21,6,20000,1000,"1 out of 1","Super","Sonarpur","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner",20,1,1,0
2022-06-22,2,6700,800,"1 out of 2","Super","Baishnavghata patuli , house number s-300 Kolkata 700094","Kolkata","Furnished","Bachelors/Family",1,"Owner",8.38,1,2,1
2022-05-27,1,10000,435,"2 out of 3","Super","Kasba","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",22.99,2,3,1
2022-05-07,2,7000,700,"Ground out of 2","Carpet","Dum Dum Metro","Kolkata","Semi-Furnished","Bachelors/Family",2,"Agent",10,0,2,2
2022-06-25,2,22000,800,"4 out of 4","Super","Hazra, Kalighat","Kolkata","Furnished","Bachelors/Family",1,"Agent",27.5,4,4,0
2022-06-27,2,6500,450,"1 out of 3","Super","Ajoy Nagar","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",14.44,1,3,2
2022-05-31,2,8500,550,"2 out of 3","Carpet","Kasba -East","Kolkata","Semi-Furnished","Bachelors/Family",1,"Agent",15.45,2,3,1
2022-06-03,2,18000,800,"Ground out of 4","Carpet","Salt Lake City","Kolkata","Unfurnished","Bachelors",2,"Agent",22.5,0,4,4
2022-06-27,2,12000,550,"Ground out of 2","Carpet","Baghajatin","Kolkata","Semi-Furnished","Family",2,"Owner",21.82,0,2,2
2022-05-15,1,9000,600,"2 out of 4","Super","Behala","Kolkata","Furnished","Bachelors/Family",1,"Owner",15,2,4,2
2022-06-09,1,6000,500,"Ground out of 1","Super","New Garia, Garia","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",12,0,1,1
2022-04-28,2,20000,1000,"1 out of 2","Super","Anandapur","Kolkata","Furnished","Bachelors/Family",2,"Owner",20,1,2,1
2022-05-23,1,5000,300,"1 out of 2","Carpet","Dum Dum Metro","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",16.67,1,2,1
2022-06-28,2,12000,1200,"1 out of 3","Super","Boral","Kolkata","Furnished","Bachelors/Family",2,"Owner",10,1,3,2
2022-06-23,2,10000,500,"3 out of 4","Carpet","Rabindra Pally, Keshtopur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",20,3,4,1
2022-04-29,4,18000,1200,"1 out of 2","Super","Bagbazar","Kolkata","Unfurnished","Family",2,"Owner",15,1,2,1
2022-06-13,2,15000,900,"1 out of 2","Carpet","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors/Family",2,"Agent",16.67,1,2,1
2022-06-13,3,22000,1300,"Ground out of 2","Carpet","Salt Lake City Sector 2","Kolkata","Unfurnished","Bachelors/Family",3,"Agent",16.92,0,2,2
2022-06-13,4,35000,1600,"1 out of 5","Carpet","Salt Lake City Sector 3","Kolkata","Unfurnished","Bachelors/Family",3,"Agent",21.88,1,5,4
2022-05-14,3,21000,1450,"Ground out of 1","Super","Ajoy Nagar","Kolkata","Unfurnished","Family",2,"Owner",14.48,0,1,1
2022-07-06,2,25000,1100,"2 out of 2","Super","Action Area 1, Rajarhat Newtown","Kolkata","Furnished","Bachelors",2,"Agent",22.73,2,2,0
2022-06-16,2,180000,950,"Ground out of 1","Carpet","Avenue S, Santoshpur","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",189.47,0,1,1
2022-06-06,1,6000,600,"8 out of 5","Carpet","Pratiraksha Nagar","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",10,8,5,-3
2022-07-04,2,14000,700,"Ground out of 2","Carpet","Kudghat, Ashok Nagar","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",20,0,2,2
2022-05-15,3,8000,750,"Ground out of 2","Super","Sakher Bazar, Purba Barisha","Kolkata","Unfurnished","Family",1,"Owner",10.67,0,2,2
2022-05-04,2,8000,1000,"Ground out of 1","Super","Purbasan, Thakurpukur","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",8,0,1,1
2022-04-25,1,6000,220,"Ground out of 2","Super","Bidhan Pally, Bansdroni","Kolkata","Furnished","Bachelors/Family",1,"Owner",27.27,0,2,2
2022-05-21,1,8000,300,"1 out of 3","Carpet","Naktala, Garia","Kolkata","Semi-Furnished","Bachelors",1,"Agent",26.67,1,3,2
2022-06-27,1,6000,300,"Ground out of 1","Carpet","Tiljala Road","Kolkata","Unfurnished","Bachelors/Family",1,"Agent",20,0,1,1
2022-07-02,1,20000,700,"1 out of 2","Super","Sankaritola","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",28.57,1,2,1
2022-07-06,3,12000,800,"Ground out of 1","Super","Parnashree Lake, Behala","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",15,0,1,1
2022-04-28,3,15000,1600,"1 out of 3","Super","Garia","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",9.38,1,3,2
2022-05-15,2,14000,1000,"1 out of 3","Carpet","Kasba","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",14,1,3,2
2022-05-30,1,5000,20,"2 out of 3","Super","Dakshineswar","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",250,2,3,1
2022-06-10,2,7000,400,"Ground out of 2","Carpet","chatana","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",17.5,0,2,2
2022-06-23,1,3900,200,"2 out of 2","Super","Shyam Bazar","Kolkata","Furnished","Bachelors/Family",1,"Owner",19.5,2,2,0
2022-06-09,3,14000,840,"1 out of 4","Carpet","Mukundapur","Kolkata","Unfurnished","Bachelors",2,"Owner",16.67,1,4,3
2022-06-19,1,6300,300,"1 out of 1","Carpet","Salt Lake City Sector 5","Kolkata","Unfurnished","Bachelors/Family",1,"Agent",21,1,1,0
2022-07-03,2,13000,550,"1 out of 2","Carpet","Salt Lake City Sector 5","Kolkata","Furnished","Bachelors/Family",2,"Agent",23.64,1,2,1
2022-07-03,1,6800,300,"1 out of 2","Carpet","Salt Lake City Sector 5","Kolkata","Unfurnished","Bachelors/Family",1,"Agent",22.67,1,2,1
2022-05-14,2,8000,800,"1 out of 1","Super","Behala Chowrasta","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",10,1,1,0
2022-05-10,2,10000,740,"Ground out of 6","Carpet","Sonarpur","Kolkata","Unfurnished","Bachelors",1,"Owner",13.51,0,6,6
2022-04-25,2,18000,1300,"1 out of 1","Super","Santoshpur","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",13.85,1,1,0
2022-06-13,2,8000,650,"Ground out of 1","Super","Garia Station, Garia","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",12.31,0,1,1
2022-05-06,2,8000,490,"1 out of 1","Super","Entally","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",16.33,1,1,0
2022-06-08,1,4700,250,"2 out of 2","Super","Kaikhali","Kolkata","Furnished","Bachelors/Family",1,"Owner",18.8,2,2,0
2022-06-08,1,4700,250,"Ground out of 1","Super","Dash Drone, Rajarhat Newtown","Kolkata","Furnished","Bachelors/Family",1,"Owner",18.8,0,1,1
2022-05-06,1,4500,450,"1 out of 2","Super","Rabindra Pally, Keshtopur","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",10,1,2,1
2022-06-30,1,6000,300,"Ground out of 1","Carpet","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",20,0,1,1
2022-06-24,2,16000,750,"1 out of 3","Super","Rajdanga Gardens, Kasba","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",21.33,1,3,2
2022-07-01,1,4700,250,"1 out of 2","Super","Kaikhali","Kolkata","Furnished","Bachelors/Family",1,"Owner",18.8,1,2,1
2022-06-17,2,14000,751,"3 out of 3","Carpet","Baghajatin","Kolkata","Unfurnished","Bachelors",1,"Owner",18.64,3,3,0
2022-06-26,2,9000,900,"Ground out of 2","Carpet","Lake Town","Kolkata","Semi-Furnished","Bachelors",1,"Owner",10,0,2,2
2022-06-23,2,5000,400,"1 out of 3","Carpet","Keshtopur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",12.5,1,3,2
2022-06-13,2,17500,1000,"Ground out of 2","Carpet","Salt Lake City","Kolkata","Semi-Furnished","Bachelors/Family",2,"Agent",17.5,0,2,2
2022-06-11,2,8500,1000,"Ground out of 1","Carpet","South Baksara","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",8.5,0,1,1
2022-05-26,3,15000,1500,"1 out of 1","Carpet","Chandannagar, Hooghly-Chinsurah","Kolkata","Semi-Furnished","Family",2,"Owner",10,1,1,0
2022-04-25,2,12500,750,"1 out of 3","Carpet","Sukhpally, Haltu","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",16.67,1,3,2
2022-05-11,1,13000,1200,"2 out of 4","Super","Kasba","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",10.83,2,4,2
2022-05-06,2,8000,700,"Ground out of 1","Super","Sakher Bazar, Purba Barisha","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",11.43,0,1,1
2022-05-10,2,8000,700,"4 out of 4","Carpet","Garia Dhalua Nabapally","Kolkata","Furnished","Bachelors/Family",1,"Owner",11.43,4,4,0
2022-05-21,2,8000,1000,"Ground out of 2","Super","Chinar Park, Rajarhat","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",8,0,2,2
2022-06-12,2,7000,1200,"1 out of 3","Super","Konnagar","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",5.83,1,3,2
2022-06-05,2,2200,550,"2 out of 3","Super","Behala silpara","Kolkata","Furnished","Bachelors/Family",1,"Owner",4,2,3,1
2022-06-25,2,8000,800,"Ground out of 4","Carpet","Vip Road","Kolkata","Unfurnished","Bachelors",1,"Owner",10,0,4,4
2022-06-11,2,5500,280,"1 out of 3","Super","New Barrakpur","Kolkata","Unfurnished","Bachelors",1,"Owner",19.64,1,3,2
2022-07-04,3,20000,1100,"Ground out of 2","Super","Thakurpukur, Kolkata","Kolkata","Unfurnished","Bachelors/Family",3,"Owner",18.18,0,2,2
2022-05-10,2,7000,950,"Ground out of 2","Super","Kaikhali","Kolkata","Unfurnished","Bachelors/Family",1,"Agent",7.37,0,2,2
2022-05-13,1,3500,250,"1 out of 2","Super","Phool Bagan, Kankurgachi","Kolkata","Furnished","Bachelors/Family",1,"Owner",14,1,2,1
2022-05-10,2,5000,1000,"Ground out of 2","Carpet","Hindmotor","Kolkata","Unfurnished","Bachelors",1,"Owner",5,0,2,2
2022-06-30,3,20000,1000,"Ground out of 2","Carpet","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner",20,0,2,2
2022-05-27,2,7000,650,"Ground out of 2","Super","Howrah","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",10.77,0,2,2
2022-06-08,2,10000,700,"1 out of 2","Super","Benia Pukur","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",14.29,1,2,1
2022-05-15,2,7000,700,"Ground out of 3","Carpet","Baguiati","Kolkata","Unfurnished","Bachelors",1,"Owner",10,0,3,3
2022-06-29,3,12000,1000,"Ground out of 3","Super","E M Bypass","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner",12,0,3,3
2022-05-13,2,14500,900,"1 out of 4","Carpet","Panchanan Tola, Thakurpukur","Kolkata","Unfurnished","Bachelors",2,"Owner",16.11,1,4,3
2022-05-25,1,6000,700,"1 out of 2","Super","VIP Nagar, E M Bypass","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",8.57,1,2,1
2022-07-04,2,9500,700,"1 out of 2","Super","Jadavpur","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",13.57,1,2,1
2022-06-27,2,10000,450,"2 out of 1","Carpet","Behala","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner",22.22,2,1,-1
2022-05-06,1,3500,120,"Ground out of 3","Super","Dum Dum Cantonment","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",29.17,0,3,3
2022-06-01,2,9000,800,"1 out of 2","Super","New Garia, Garia","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner",11.25,1,2,1
2022-06-07,3,40000,1220,"2 out of 3","Carpet","Salt Lake City Sector 3","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",32.79,2,3,1
2022-06-23,3,16500,1100,"Ground out of 3","Super","Mominpur","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",15,0,3,3
2022-06-12,3,8000,700,"Ground out of 3","Carpet","Halisahar Station Road, Kanchrapara","Kolkata","Unfurnished","Family",2,"Owner",11.43,0,3,3
2022-05-10,2,12000,800,"Ground out of 3","Super","Santoshpur","Kolkata","Furnished","Bachelors/Family",1,"Owner",15,0,3,3
2022-06-27,2,6500,670,"2 out of 2","Super","Dunlop, Dakshineswar, Belgharia Expressway","Kolkata","Unfurnished","Family",1,"Owner",9.7,2,2,0
2022-04-30,4,40000,1300,"1 out of 2","Super","Ballygunge","Kolkata","Unfurnished","Bachelors/Family",3,"Owner",30.77,1,2,1
2022-05-06,1,5000,190,"Ground out of 2","Super","Baguihati","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",26.32,0,2,2
2022-05-24,2,9000,700,"Ground out of 2","Super","Kabardanga","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner",12.86,0,2,2
2022-06-17,1,7000,240,"Ground out of 4","Carpet","Jadavpur","Kolkata","Unfurnished","Bachelors",1,"Owner",29.17,0,4,4
2022-05-19,2,18000,850,"2 out of 4","Carpet","Behala Chowrasta","Kolkata","Semi-Furnished","Family",1,"Owner",21.18,2,4,2
2022-05-26,1,9000,950,"1 out of 2","Super","Haltu","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",9.47,1,2,1
2022-06-11,1,5500,450,"1 out of 2","Carpet","Botanical Garden Area","Kolkata","Furnished","Bachelors/Family",1,"Owner",12.22,1,2,1
2022-06-08,2,7500,800,"Ground out of 2","Carpet","Bonhooghly","Kolkata","Unfurnished","Bachelors",1,"Owner",9.38,0,2,2
2022-07-02,2,4000,600,"1 out of 2","Carpet","Nilgung Old Bazar","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",6.67,1,2,1
2022-05-30,3,10500,800,"2 out of 2","Carpet","Teghoria, Baguiati","Kolkata","Unfurnished","Bachelors",2,"Owner",13.12,2,2,0
2022-07-03,3,15000,1100,"Ground out of 2","Carpet","Survey Park","Kolkata","Unfurnished","Bachelors/Family",2,"Owner",13.64,0,2,2
2022-06-16,2,15000,800,"Ground out of 2","Carpet","Baguiati","Kolkata","Furnished","Bachelors/Family",1,"Owner",18.75,0,2,2
2022-05-13,1,50000,2200,"2 out of 5","Super","Kanchrapara","Kolkata","Furnished","Bachelors/Family",3,"Owner",22.73,2,5,3
2022-06-08,2,12000,950,"1 out of 1","Carpet","Jote Shibrampur, Joth Shibrampur","Kolkata","Unfurnished","Bachelors",2,"Owner",12.63,1,1,0
2022-04-25,2,11000,550,"2 out of 3","Carpet","Ultadanga","Kolkata","Unfurnished","Bachelors/Family",1,"Owner",20,2,3,1
2022-06-04,2,12000,1800,"1 out of 1","Carpet","Birati","Kolkata","Unfurnished","Bachelors",2,"Owner",6.67,1,1,0
